SNo,Brief Description of the grievance,Category,Label
127,Mero ghar ko aagadi ko road ma kukur haru dherai kheldainan. Park jasto banaidinu paryo.,Public Infrastructure,not_genuine
128,मेरो टोलमा इन्टरनेटको तार धेरै अल्झिएको छ। यसलाई मिलाएर बुन्नु पर्छ।,Public Infrastructure,not_genuine
129,The public fountain does not have a wishing well feature. Please add one.,Public Infrastructure,not_genuine
130,Bato ma hidda mero mobile batti sakiyo. Public charging station banaunu paryo.,Public Infrastructure,not_genuine
131,ढलको पानीको गन्धले मेरो घरको वातावरण बिगारेको छ। यसलाई परफ्युमले धोइदिनुहोस्।,Public Infrastructure,not_genuine
132,The bus stop bench is too hard. I prefer a cushion. Please replace it.,Public Infrastructure,not_genuine
133,Mero ghar ko meter box ma kaag le gund lagayo. Yeslai ramro ghar banai dinu paryo.,Public Infrastructure,not_genuine
134,सडकमा गाडीको आवाज धेरै आयो। कृपया गाडीहरुलाई साइलेन्स मोडमा हिँड्न निर्देशन दिनुहोस्।,Public Infrastructure,not_genuine
135,The public park swings are too high for my dog. Can you install smaller ones?,Public Infrastructure,not_genuine
136,Yo drain ko bahana bata sarp aaunchha. Sarp nani lai dherai garo bhayo. Dhakna lagaidinu paryo.,Public Infrastructure,not_genuine
137,मेरो छिमेकीले सार्वजनिक धाराबाट धेरै पानी भर्छन्। उहाँलाई कम पानी भर्न भन्नुहोस्।,Public Infrastructure,not_genuine
138,The footpath near my house is too straight. I prefer curves. Please re-design it.,Public Infrastructure,not_genuine
139,Mero ghar ko chhat bata pani churiyo. Yo public tap le garda ho. Tap ko disha feridinu paryo.,Public Infrastructure,not_genuine
140,ट्राफिक लाइटमा धेरै समय कुर्नुपर्छ। रातो बत्ती हटाएर सधैँ हरियो बनाइदिनुहोस्।,Public Infrastructure,not_genuine
141,"The new public toilet is too clean. It makes me uncomfortable. Please make it a bit more ""authentic"".",Public Infrastructure,not_genuine
142,Bato ma hidda mero saas dherai lamba huncha. Bato choto banaunu paryo.,Public Infrastructure,not_genuine
143,सार्वजनिक प्रतीक्षालयमा टिभी छैन। टिभीको व्यवस्था गर्नुपर्‍यो।,Public Infrastructure,not_genuine
144,I dropped my ice cream on the sidewalk. Can you clean it up and bring me a new one?,Public Infrastructure,not_genuine
145,Mero gau ko bato ma pani le bhijeko patthar haru dherai chha. Tiniharu lai sukhai dinu paryo.,Public Infrastructure,not_genuine
146,मेरो बारीको काउलीले मेरो कुरा सुन्दैन। यसलाई सुन्ने बनाउनुपर्‍यो।,Agriculture and Livestock,not_genuine
147,My cow's milk tastes too plain. Can you add a chocolate flavor to it naturally?,Agriculture and Livestock,not_genuine
148,Mero kukhura le anda dinna. Uslai motivation speech dinu paryo.,Agriculture and Livestock,not_genuine
149,मेरो खेतमा फलेको मकैको दाना धेरै सानो भयो। यसलाई ठूलो बनाउनुपर्‍यो।,Agriculture and Livestock,not_genuine
150,The vegetables I grow don't look good in my Instagram posts. Please provide me with a filter or special seeds.,Agriculture and Livestock,not_genuine
151,Mero bhaisi le ghas khana man pardaina. Burger khana chahanchha. Burger ko byawastha gardinu hola.,Agriculture and Livestock,not_genuine
152,मेरो बाख्राले अरुको घरमा गएर घाँस खान्छ। उसलाई आफ्नो घरको घाँस मात्र खान सिकाउनु पर्‍यो।,Agriculture and Livestock,not_genuine
153,My pet fish are not talking to each other. I think they are fighting. Please mediate.,Agriculture and Livestock,not_genuine
154,Khet ma pani lagaune pipe le mero haat dhukhayo. Automatic pani lagaune system chahiyo.,Agriculture and Livestock,not_genuine
155,"मेरो गाईको नाम 'सुन्दरी' हो, तर उनी त्यति सुन्दरी छैनन्। उनको लागि मेकअपको व्यवस्था गर्नुपर्‍यो।",Agriculture and Livestock,not_genuine
156,The crops are growing too slowly. Can you inject them with some energy drinks?,Agriculture and Livestock,not_genuine
157,Mero kukhura le bihana chito baas dinchha. Dherai chito uthna paryo. Yeslai bela ma baas dina sikhaunu paryo.,Agriculture and Livestock,not_genuine
158,बाख्राले घाँस खाँदा धेरै हल्ला गर्छ। उसलाई चुपचाप खान सिकाउनुपर्‍यो।,Agriculture and Livestock,not_genuine
159,My scarecrow is too old-fashioned. Can you replace it with a hologram scarecrow?,Agriculture and Livestock,not_genuine
160,Mero karesabari ko sima ko aakar gol bhayo. Chaukosh aakar ko banaidinu paryo.,Agriculture and Livestock,not_genuine
161,मेरो कुकुरले मासु मात्रै खान खोज्छ। उसलाई शाकाहारी बनाउनुपर्‍यो।,Agriculture and Livestock,not_genuine
162,The bees are making too much honey. I don't have enough jars. Please send more jars.,Agriculture and Livestock,not_genuine
163,Mero pakhalu janawar le mero sathi lai tokidiyo. Janawar lai sajae dinu paryo.,Agriculture and Livestock,not_genuine
164,मेरो गाईले पानी धेरै पिउँछ। यसले गर्दा पानीको बिल धेरै आयो।,Agriculture and Livestock,not_genuine
165,My chickens are not laying golden eggs. Please consult with a specialist.,Agriculture and Livestock,not_genuine
166,Mero kukhura haru TikTok chalauchhan. Tiniharu lai kaam ma lagna lagaunu paryo.,Agriculture and Livestock,not_genuine
167,"Nagar Prahari jyu, mero phone ma unknown number bata call aayo. Yeslai rokna paryo.",Nagar Prahari,not_genuine
168,मेरो छिमेकीले मेरो घरमा हेरेर हाँसे। उहाँलाई हाँस्न बन्द गर्न भन्नुहोस्।,Nagar Prahari,not_genuine
169,My dog thinks he is a police dog. He is trying to arrest the mailman. Please stop him.,Nagar Prahari,not_genuine
170,Mero jutta ma chikana lagyo. Safa garna madat chahiyo.,Nagar Prahari,not_genuine
171,मैले आज बिहान चिया बनाउँदा चिनी सकियो। चिनी किनेर ल्याइदिनुहोस्।,Nagar Prahari,not_genuine
172,My online game account was hacked. Please recover it for me.,Nagar Prahari,not_genuine
173,Mero chhora le mero mobile hideko chha. Kahan lukayo khoj dinu paryo.,Nagar Prahari,not_genuine
174,मेरो टोलमा बिहान-बिहान रेडियोमा धेरै गीत बज्छ। यसलाई रोक्नुपर्छ।,Nagar Prahari,not_genuine
175,I lost my favorite sock. Can the police find it for me?,Nagar Prahari,not_genuine
176,Mero ghar ma musa le khana khayio. Musa lai samatne kam garnu paryo.,Nagar Prahari,not_genuine
177,मेरो श्रीमान्ले मलाई खाना बनाउन लगाउनुहुन्छ। यसमा रोक लगाइदिनुपर्‍यो।,Nagar Prahari,not_genuine
178,The neighbor's cat is staring at me. I feel threatened. Please remove the cat.,Nagar Prahari,not_genuine
179,Mero ghar ma batti gayo. Generator chalauna aaudaina. Madat chahiyo.,Nagar Prahari,not_genuine
180,मैले नुहाउन पानी तताउँदा धेरै समय लाग्यो। यो पानी तताउनेलाई कारबाही हुनुपर्छ।,Nagar Prahari,not_genuine
181,My internet is slow. Can you send someone to fix my Wi-Fi router immediately?,Nagar Prahari,not_genuine
182,Mero sathi le mero secret disclose garidiyo. Uslai jail halidinu paryo.,Nagar Prahari,not_genuine
183,मेरो छिमेकीले धेरै फुल रोप्छन्। यसले गर्दा मेरो घरमा किरा आउँछ।,Nagar Prahari,not_genuine
184,I dreamt that someone stole my money. I need protection for my dreams.,Nagar Prahari,not_genuine
185,Mero jhyal bata dhulo aayo. Dhulo lai rokna paryo.,Nagar Prahari,not_genuine
186,सडकमा गाडीको हर्नले मेरो मुटु दुख्यो। हर्न बजाउन निषेध गर्नुपर्छ।,Nagar Prahari,not_genuine
187,My cat is refusing to eat her expensive cat food. Can you investigate her eating habits?,Nagar Prahari,not_genuine
188,Mero chhora le mobile game ma dherai paisa kharcha garyo. Mobile game ban garaidinu paryo.,Nagar Prahari,not_genuine
189,मैले बिहान खाना खाएँ तर मेरो पेट अझै खाली छ। यो खानेकुरालाई कारबाही हुनुपर्छ।,Nagar Prahari,not_genuine
190,The crows are cawing too loudly. Can you give them a warning?,Nagar Prahari,not_genuine
191,Mero mobile ko wallpaper ma mero photo ramro aayena. Ramro photo khichna sikaunu paryo.,Nagar Prahari,not_genuine
192,Aakash ma indreni niklenna. Aja indreni nikalidinu paryo.,Environment,not_genuine
193,आज बिहान हावामा धेरै चिसो थियो। यसलाई तातो बनाउनुपर्छ।,Environment,not_genuine
194,The sun is too bright today. Can you dim it down a bit?,Environment,not_genuine
195,Mero ghar najikai ko phool le malai allergy bhayo. Tyo phool lai hataidinu paryo.,Environment,not_genuine
196,चराहरूले मेरो कौसीमा धेरै गाह्रो आवाज निकाल्छन्। तिनीहरूलाई चुप लगाउनुपर्छ।,Environment,not_genuine
197,My neighbor's plants are growing too tall. They are blocking my view of the sky.,Environment,not_genuine
198,Khola ma paani dherai bagyo. Sabai paani bachaut raakhnu paryo.,Environment,not_genuine
199,माटो धेरै गिलो भयो। यसलाई सुक्खा बनाउने उपाय चाहियो।,Environment,not_genuine
200,The clouds are not fluffy enough. Can you make them softer and more artistic?,Environment,not_genuine
201,Hawa ma dhulo dherai chha. Hawa lai dhulo rahit banaunu paryo.,Environment,not_genuine
202,जंगलमा जनावरहरू धेरै बस्छन्। तिनीहरूलाई जनसंख्या नियन्त्रण गर्नुपर्छ।,Environment,not_genuine
203,My garden hose is leaking. The water is going to waste. Please fix the ozone layer.,Environment,not_genuine
204,Barsha dherai paryo. Mero ghar ko chhat bata pani churiyo. Chhat lai pakka banaunu paryo.,Environment,not_genuine
205,मेरो घरको अगाडिको रूखले पात झार्छ। पात झार्न बन्द गर्नुपर्छ।,Environment,not_genuine
206,The sound of the wind is too loud. It keeps me awake at night. Please silence it.,Environment,not_genuine
207,Himal dherai chiso chha. Yeslai halka taato banaunu paryo.,Environment,not_genuine
208,"नदीमा माछाहरू धेरै छन्। यिनीहरूले पानी फोहोर गर्छन्, माछालाई अन्यत्र सार्नुपर्छ।",Environment,not_genuine
209,I don't like the smell of rain. Can you make rain smell like vanilla?,Environment,not_genuine
210,Mero bagan ma phool phuldainan. Phool phulaune byawastha garnu paryo.,Environment,not_genuine
211,समुन्द्रमा पानी धेरै छ। यसले गर्दा संसार डुब्न सक्छ। पानी घटाउनुपर्छ।,Environment,not_genuine
212,"The air in my room is too still. Can you send a small, personal breeze?",Environment,not_genuine
213,Mero ghar ko aagan ma dhulo dherai aauchha. Dhulo lai rokna paryo.,Environment,not_genuine
214,हिउँ किन सेतो हुन्छ? यसलाई रातो वा निलो बनाउन सकिँदैन?,Environment,not_genuine
215,My neighbor's dog barks at the moon. Can you explain to the dog that the moon can't hear it?,Environment,not_genuine
216,School ma khelne time kam bhayo. Padhaune time kam garera khelne time badhaunu paryo.,Education,not_genuine
217,मेरो छोराले गृहकार्य गर्न मान्दैन। उसलाई गृहकार्य नगर्न आदेश दिनुहोस्।,Education,not_genuine
218,My daughter wants a pet unicorn in school. Please arrange for a stable and food.,Education,not_genuine
219,Teacher le malai 'timi smart chhau' bhannuhunna. Malai smart chha bhanera भन्न लगाउनुस्।,Education,not_genuine
220,"हाम्रो स्कुलको नाम 'शान्ति निकेतन' हो, तर यहाँ शान्ति छैन। नाम परिवर्तन गर्नुपर्छ।",Education,not_genuine
221,"The school principal's office is too small. He needs a bigger, more imposing office.",Education,not_genuine
222,Mero chhora le school ma ball haraayo. Ball khojera dinu paryo.,Education,not_genuine
223,स्कुलमा पानी पिउने धारामा कोल्ड ड्रिंकको व्यवस्था गर्नुपर्छ।,Education,not_genuine
224,My son says his textbook is too heavy. Can you make them lighter or digital?,Education,not_genuine
225,Malai exam ma pass huna jadu chahiyo. Jadu ko byawastha gardinu paryo.,Education,not_genuine
226,शिक्षकले बोर्डमा लेख्दा धेरै आवाज आउँछ। चकको सट्टामा साइलेन्ट मार्कर प्रयोग गर्नुपर्छ।,Education,not_genuine
227,The school playground has grass. My daughter prefers sand. Please replace the grass.,Education,not_genuine
228,School ko gate kholne bell dherai chito bajcha. Aru thapne bell rakhnu paryo.,Education,not_genuine
229,हाम्रो कक्षाकोठामा गर्मी भयो। एसीको व्यवस्था गर्नुपर्छ।,Education,not_genuine
230,My son wants a slide from his classroom directly to the playground. Please build it.,Education,not_genuine
231,Mero chhora le school ma kura bujhena. Teacher lai bujhaune tarika sikaunu paryo.,Education,not_genuine
232,स्कुलको शौचालयमा सुगन्ध आउँदैन। त्यहाँ सुगन्धित स्प्रे राख्नुपर्‍यो।,Education,not_genuine
233,The school cafeteria food is too healthy. I want more junk food options.,Education,not_genuine
234,Mero chhora le school ma sathi banauna sakeko chaina. Sathi banaune tutorial dinu paryo.,Education,not_genuine
235,हाम्रो स्कुलको भित्तामा रङको कमी छ। त्यहाँ कार्टुनका चित्र बनाउनुपर्छ।,Education,not_genuine
236,My daughter wants to be a princess. Can the school arrange for a princess costume and a crown during school hours?,Education,not_genuine
237,Public road ma kura garnalai meeting point chaina. Euta meeting point banaidinu paryo.,Public Infrastructure,not_genuine
238,सडकको छेउमा फुल फुल्दैन। सुन्दर फुल फुलाउने व्यवस्था गर्नुपर्छ।,Public Infrastructure,not_genuine
239,The public park has too many trees. It's blocking the sunlight. Please cut some trees.,Public Infrastructure,not_genuine
240,Mero ghar ko aagadi ko dhala ma macha le khelna man parayen. Macha ko lagi alag pokhari banaidinu paryo.,Public Infrastructure,not_genuine
